dim,num_hidden,mode,latency_median_ms,latency_q1_ms,latency_q3_ms,cosine_sim,max_error,gpu_mem_peak_mb,depth_consumed,num_layers_enc,tt_cores,tt_max_rank,feasible,error_msg
32,1,regular,581.8980390031356,569.4947369920556,587.7456699963659,0.9999999999999956,3.869549253937565e-09,0.00048828125,3,3,0,0,True,
32,1,tt,583.7134289904498,574.1832320054527,587.2919630055549,0.9999999999999876,4.694124689647028e-09,0.00048828125,3,3,4,16,True,
64,1,regular,952.1200250019319,938.5409050009912,959.8284950043308,0.9999999999999963,5.01970036370647e-09,0.00048828125,3,3,0,0,True,
64,1,tt,944.8108350043185,921.8170499952976,954.4277000095462,0.9999999999999956,5.780169416019776e-09,0.00048828125,3,3,4,16,True,
128,1,regular,1614.4002680084668,1595.9810100030154,1623.6458749917801,0.9999999999999885,1.025356552789014e-08,0.0009765625,3,3,0,0,True,
128,1,tt,1599.5581669994863,1592.1247359947301,1622.4235270055942,0.9999999999999896,8.007938034904072e-09,0.0009765625,3,3,4,64,True,
256,1,regular,2797.508914998616,2787.53580499324,2826.818205998279,0.9999999999999793,1.2750055304946994e-08,0.001953125,3,3,0,0,True,
256,1,tt,2805.735927002388,2786.9801610067952,2833.0876680120127,0.9999999999999827,1.1865088307694283e-08,0.001953125,3,3,4,256,True,
512,1,regular,5071.088772994699,5053.833049998502,5086.8473459995585,0.9999999999999598,1.4777015326650211e-08,0.00390625,3,3,0,0,True,
512,1,tt,5081.79242600454,5065.292319995933,5085.933360009221,0.9999999999999667,1.5943889403180478e-08,0.00390625,3,3,4,256,True,
768,1,regular,7988.832796996576,7976.274731990998,8013.697547998163,0.9999999999999554,2.4543486895622912e-08,0.005859375,3,3,0,0,True,
768,1,tt,7945.300605992088,7935.435603998485,7961.747114997706,0.9999999999999566,2.4222715860888755e-08,0.005859375,3,3,4,256,True,
1024,1,regular,9268.685474991798,9253.334680004627,9282.959896998364,0.9999999999999435,2.3970325935956938e-08,0.0078125,3,3,0,0,True,
1024,1,tt,9388.111070002196,9365.45382499753,9433.216258999892,0.9999999999999413,2.3096452320126026e-08,0.0078125,3,3,4,256,True,
